N,M,D1_csi,D1_frag_onset,D1_n_comm,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,rewire_id
223,263,0.5263157894736842,0.1,14,0.5551706693875451,2,0.05967926826420661,0.002702227555405931,0.9280597054970988,6.6836444728862014,60,60.0,5.90689059560843,0.26905829596412556,75,0.336322869955157,0
223,263,0.7368421052631579,0.16237767391887217,13,0.5812231518907898,2,0.06830160959382843,0.0030663467749021023,0.9116519480469077,6.675113481313393,58,60.0,5.840223928941767,0.2600896860986547,77,0.3452914798206278,1
223,263,0.5789473684210527,0.12742749857031338,13,0.5399476831091181,2,0.0752282861866459,0.0033683947914666446,0.9321863086266543,6.678201949905391,61,61.0,5.9307373375628,0.273542600896861,78,0.34977578475336324,2
223,263,0.5789473684210527,0.33598182862837817,12,0.5567119297913976,2,0.06534733532690434,0.002936875358673965,0.9144146293825647,6.678111205583512,61,63.0,5.913787860007766,0.273542600896861,78,0.34977578475336324,3
223,263,0.7368421052631579,0.26366508987303583,11,0.6260546685327468,2,0.0465186092225,0.002099032092511527,0.9447736124534571,6.680306337235815,63,65.0,5.960829351489901,0.2825112107623318,77,0.3452914798206278,4
223,263,0.7368421052631579,0.33598182862837817,13,0.5952952043263859,2,0.08033619726367516,0.003599568876873863,0.9478630512206606,6.679404841597305,59,60.0,5.8735572622750984,0.2645739910313901,77,0.3452914798206278,5
223,263,0.7368421052631579,0.26366508987303583,14,0.5433754326396808,2,0.0792357491495008,0.003585077879115494,0.9403299402707553,6.676847173176158,57,57.0,5.832890014164659,0.2556053811659193,77,0.3452914798206278,6
223,263,0.631578947368421,0.33598182862837817,11,0.5610285023075372,2,0.06843005649392664,0.003078674581662728,0.9235017244784012,6.675563906107769,55,56.0,5.771640636343238,0.24663677130044842,78,0.34977578475336324,7
223,263,0.631578947368421,0.12742749857031338,14,0.5574086332528855,2,0.06574045244258504,0.0029393255662288425,0.9386037270967386,6.679227197072599,69,70.0,6.100711588373438,0.3094170403587444,78,0.34977578475336324,8
223,263,0.5263157894736842,0.33598182862837817,13,0.619341591686118,2,0.07929608665327463,0.003544096246883171,0.9450578882696256,6.683477989891947,60,60.0,5.90689059560843,0.26905829596412556,76,0.34080717488789236,9
223,263,0.6842105263157895,0.26366508987303583,12,0.5442067388645669,2,0.0654729487131572,0.002959532573350901,0.9451558027849297,6.675884265661882,61,62.0,5.921938245870659,0.273542600896861,77,0.3452914798206278,10
223,263,0.631578947368421,0.16237767391887217,14,0.6256941763430641,2,0.08054674872213388,0.003613816009259283,0.9387900824361003,6.672889422026747,55,56.0,5.771640636343238,0.24663677130044842,78,0.34977578475336324,11
223,263,0.6842105263157895,0.26366508987303583,13,0.5697315903498795,2,0.075198626567941,0.003387100417527433,0.9227731875542193,6.6759592814488435,60,60.0,5.90689059560843,0.26905829596412556,78,0.34977578475336324,12
223,263,0.7368421052631579,0.26366508987303583,12,0.6224984940767017,2,0.0813844866973457,0.0036431215175974385,0.9469830416026886,6.678613266242982,64,65.0,5.991598582259131,0.28699551569506726,78,0.34977578475336324,13
223,263,0.7368421052631579,0.26366508987303583,14,0.6251327677405513,2,0.0751986452799822,0.003356657973503012,0.9319303302396,6.678199494216509,62,62.0,5.954196310386787,0.27802690582959644,77,0.3452914798206278,14
223,263,0.7894736842105263,0.33598182862837817,13,0.6390789091223765,2,0.07050437029667629,0.0031631115563122694,0.9002046755004951,6.679716181941261,60,61.0,5.897950452316899,0.26905829596412556,78,0.34977578475336324,15
223,263,0.47368421052631576,0.12742749857031338,14,0.5763390365480475,2,0.07510468226482182,0.0033909893697932555,0.9280592501018409,6.676404220051375,60,60.0,5.90689059560843,0.26905829596412556,78,0.34977578475336324,16
223,263,0.7894736842105263,0.42813323987193935,12,0.5910282868093162,2,0.07969397456617283,0.0036048797775192426,0.7930363488893408,6.682436927255649,67,68.0,6.058051076544361,0.3004484304932735,77,0.3452914798206278,17
223,263,0.7894736842105263,0.26366508987303583,12,0.6451299726610786,2,0.07898443994047885,0.003559266135884662,0.9448092278724597,6.680975139922575,58,59.0,5.848744744277012,0.2600896860986547,77,0.3452914798206278,18
223,263,0.5263157894736842,0.33598182862837817,14,0.5432597283913885,2,0.07533796815377763,0.0033738908260885964,0.9332034250999309,6.674358472306494,60,60.0,5.90689059560843,0.26905829596412556,78,0.34977578475336324,19
223,263,0.5263157894736842,0.26366508987303583,14,0.5758726539805932,2,0.07559665533667925,0.0033929346548873707,0.9332956625711712,6.678755047308843,55,57.0,5.762714575568173,0.24663677130044842,77,0.3452914798206278,20
223,263,0.631578947368421,0.33598182862837817,14,0.6394766026885527,2,0.08083953300375823,0.00366114535644373,0.9452564367319654,6.6813921095351505,57,58.0,5.8234982365068,0.2556053811659193,77,0.3452914798206278,21
223,263,0.5263157894736842,0.33598182862837817,14,0.5497105905362665,2,0.0670927963296592,0.0030060240953177966,0.928029833735722,6.676356395689997,60,61.0,5.897950452316899,0.26905829596412556,78,0.34977578475336324,22
223,263,0.631578947368421,0.26366508987303583,14,0.5278083669183176,2,0.058463048104654934,0.0026324995962688155,0.9346955513097736,6.679173484122376,57,58.0,5.8234982365068,0.2556053811659193,76,0.34080717488789236,23
223,263,0.6842105263157895,0.33598182862837817,13,0.47353960636936,-1,0.07466030737745233,0.0033479758522054954,0.9297859722145801,6.6785734244467445,62,63.0,5.945533891753795,0.27802690582959644,78,0.34977578475336324,24
223,263,0.631578947368421,0.33598182862837817,14,0.5173003811418876,6,0.06895702182695773,0.003098157690705281,0.9212211605447984,6.680726671367635,52,54.0,5.680813428089319,0.23318385650224216,77,0.3452914798206278,25
223,263,0.6842105263157895,0.33598182862837817,12,0.511290177413292,2,0.06139287117969917,0.002767427457124174,0.9272946494663783,6.675146185311878,57,60.0,5.806890595608436,0.2556053811659193,77,0.3452914798206278,26
223,263,0.47368421052631576,0.26366508987303583,15,0.5962146697478794,2,0.06967762249570868,0.0031470911126395117,0.9404539563102343,6.676377140420191,63,63.0,5.977279923499825,0.2825112107623318,77,0.3452914798206278,27
223,263,0.6842105263157895,0.33598182862837817,12,0.5886733389657937,2,0.053414561368729664,0.002396564302673525,0.9373520054982047,6.684144072033525,65,66.0,6.014091089055329,0.2914798206278027,77,0.3452914798206278,28
223,263,0.5789473684210527,0.26366508987303583,14,0.6450373586589492,2,0.04750370540150374,0.0021537266994970682,0.9584631477496611,6.682241555329774,60,61.0,5.897950452316899,0.26905829596412556,77,0.3452914798206278,29
223,263,0.47368421052631576,0.26366508987303583,12,0.5126290222570887,2,0.08126603824562142,0.0036513280134783978,0.9436006036465566,6.677557837866219,57,60.0,5.806890595608436,0.2556053811659193,77,0.3452914798206278,30
223,263,0.631578947368421,0.26366508987303583,14,0.585428528241044,2,0.08118510565765513,0.003647304300740672,0.9447399104323806,6.674451285263526,55,56.0,5.771640636343238,0.24663677130044842,78,0.34977578475336324,31
223,263,0.631578947368421,0.33598182862837817,15,0.6719438801628749,1,0.08121137195240742,0.0036455797582975904,0.9307530022135385,6.680024639370574,68,68.0,6.087462841250242,0.30493273542600896,78,0.34977578475336324,32
223,263,0.631578947368421,0.26366508987303583,13,0.5719199668629675,2,0.08159071554475117,0.0036403476343136796,0.9473652761602519,6.678965116340223,62,63.0,5.945533891753795,0.27802690582959644,77,0.3452914798206278,33
223,263,0.5789473684210527,0.26366508987303583,12,0.5284276378550615,2,0.08107222944926978,0.00362775006832571,0.9439092276332592,6.675667478246386,60,61.0,5.897950452316899,0.26905829596412556,77,0.3452914798206278,34
223,263,0.5263157894736842,0.16237767391887217,14,0.49947037605633143,-1,0.06575109632349661,0.0029456513141974637,0.9380954939536872,6.6782739994030695,65,66.0,6.014091089055329,0.2914798206278027,78,0.34977578475336324,35
223,263,0.631578947368421,0.26366508987303583,12,0.6226968288475124,2,0.08107921022977022,0.0036558901809374197,0.9453280246227413,6.676809833353122,66,67.0,6.03623844418902,0.29596412556053814,78,0.34977578475336324,36
223,263,0.5263157894736842,0.16237767391887217,12,0.569751055674978,2,0.0815152342150108,0.003664409924606705,0.9459977624791706,6.676130404127143,60,61.0,5.897950452316899,0.26905829596412556,77,0.3452914798206278,37
223,263,0.47368421052631576,0.42813323987193935,13,0.554273171937118,2,0.08058751608569087,0.0036265244287584245,0.9356563072732212,6.675894270148934,63,63.0,5.977279923499825,0.2825112107623318,78,0.34977578475336324,38
223,263,0.5789473684210527,0.33598182862837817,12,0.6245347391001723,2,0.08037022982543993,0.003600667875773239,0.9422487694715161,6.680918576044599,67,68.0,6.058051076544361,0.3004484304932735,78,0.34977578475336324,39
223,263,0.7368421052631579,0.33598182862837817,13,0.6346027708988689,2,0.045004965347649036,0.002015936287058767,0.9520835623464041,6.678995204494625,59,60.0,5.8735572622750984,0.2645739910313901,77,0.3452914798206278,40
223,263,0.5789473684210527,0.26366508987303583,15,0.5539040918622278,2,0.0811034881077886,0.003627723580554506,0.9447953928361758,6.6764470504534525,66,66.0,6.0443941193583575,0.29596412556053814,78,0.34977578475336324,41
223,263,0.5789473684210527,0.26366508987303583,13,0.540972721236322,2,0.04153066142782566,0.0018764082207866838,0.9640017710902568,6.6838765126715325,67,67.0,6.066089190457674,0.3004484304932735,77,0.3452914798206278,42
223,263,0.631578947368421,0.20691380811147897,13,0.5760579598200556,2,0.08003534742738169,0.00358768107691457,0.9377109184885714,6.678455066981022,55,57.0,5.762714575568173,0.24663677130044842,78,0.34977578475336324,43
223,263,0.5789473684210527,0.33598182862837817,13,0.6501334398431401,2,0.07553196395706702,0.0034148130673887452,0.931922576688988,6.682175752106287,60,62.0,5.889680181354531,0.26905829596412556,77,0.3452914798206278,44
223,263,0.631578947368421,0.33598182862837817,15,0.534462535056259,2,0.07514945954057373,0.0033510211676334605,0.9322400611357593,6.6787642614550675,65,65.0,6.02236781302836,0.2914798206278027,78,0.34977578475336324,45
223,263,0.6842105263157895,0.26366508987303583,11,0.5773036024209961,2,0.08146411588938599,0.0036627445643245674,0.9468919218810302,6.678255658369703,60,61.0,5.897950452316899,0.26905829596412556,78,0.34977578475336324,46
223,263,0.631578947368421,0.26366508987303583,13,0.5715208634187124,2,0.06639995394452367,0.0029864652192979294,0.9538411284504622,6.676862638621306,62,62.0,5.954196310386787,0.27802690582959644,78,0.34977578475336324,47
223,263,0.631578947368421,0.26366508987303583,13,0.5509438426693787,2,0.08052209358394789,0.0036487799123932087,0.926173136352277,6.682366602156481,63,64.0,5.968749999999907,0.2825112107623318,78,0.34977578475336324,48
223,263,0.47368421052631576,0.42813323987193935,13,0.519221151461917,2,0.0666919765561626,0.0029732999156503576,0.9429557721152599,6.681922841896721,60,60.0,5.90689059560843,0.26905829596412556,77,0.3452914798206278,49
223,263,0.6842105263157895,0.33598182862837817,14,0.5849968149451603,2,0.08077397162777479,0.003645242197370119,0.945442865912522,6.67949238216576,57,59.0,5.814846439192268,0.2556053811659193,78,0.34977578475336324,50
223,263,0.6842105263157895,0.26366508987303583,13,0.5385479799324692,2,0.0749387226874719,0.0033762085606588144,0.939051759895922,6.684868253297779,65,65.0,6.02236781302836,0.2914798206278027,77,0.3452914798206278,51
223,263,0.7894736842105263,0.26366508987303583,12,0.6036192740855856,2,0.05846653325110398,0.0026094912465858696,0.9509308214977208,6.673400812171867,62,62.0,5.954196310386787,0.27802690582959644,78,0.34977578475336324,52
