D1_csi,D2_max_gini,D3_alg_conn,D3_fiedler_bim,D3_norm_gap,D4_cycle_rank_norm,accepted_swaps,is_dag
0.7368421052631579,0.49307092240179584,0.08202620334188147,0.9298664317007618,0.003719947777275658,0.34080717488789236,572,False
0.7368421052631579,0.47940865892291445,0.13595146367017363,0.4919889357204228,0.006165139038587588,0.3452914798206278,594,False
0.5789473684210527,0.49376028122676163,0.10099836153853267,0.717261575499875,0.0045759862922918745,0.34977578475336324,664,False
0.5789473684210527,0.49447469570787955,0.12622156410434643,0.5133063961236397,0.005725437362915956,0.3542600896860987,607,True
0.5263157894736842,0.5267385047854896,0.12937416885550154,0.4979413635309042,0.005872557723740405,0.34977578475336324,587,False
0.5789473684210527,0.5148171249013423,0.13549626599219552,0.5553117245889237,0.006146744072637641,0.34080717488789236,590,False
0.7368421052631579,0.4860549053921033,0.10177865064554135,0.7516084094200197,0.004614042357844274,0.34080717488789236,640,False
0.47368421052631576,0.4953598959532874,0.1421866549434825,0.37158483976458057,0.006447167006250088,0.34977578475336324,588,False
0.7368421052631579,0.5408322558605152,0.12267067523065582,0.4631115533922835,0.005564611962039487,0.3542600896860987,618,False
0.6842105263157895,0.505190085198822,0.08455147834722256,0.95211091453908,0.003829512802422523,0.34080717488789236,632,False
0.7368421052631579,0.47713375088018384,0.07307275843023879,0.9168793869374107,0.003315914741034213,0.3452914798206278,576,False
0.631578947368421,0.4987214692396836,0.13222583898540236,0.4520478089655507,0.005987471505299088,0.3452914798206278,613,False
0.5789473684210527,0.4922531903886636,0.10801363733586981,0.6120553739591532,0.004897562469638312,0.34977578475336324,632,False
0.631578947368421,0.49250323255110184,0.1294918843116628,0.87060011414542,0.005877459848884266,0.336322869955157,582,False
0.631578947368421,0.4898114663194947,0.0681777641688884,0.9296872499050445,0.0030907296512090454,0.34977578475336324,618,False
0.7368421052631579,0.47415624262449846,0.10665589920644017,0.4510659286520847,0.004839295743638352,0.3452914798206278,579,False
0.6842105263157895,0.5027018070840259,0.13989977500622403,0.574156736208149,0.006342187444290326,0.3452914798206278,577,False
0.5789473684210527,0.47106336837462326,0.12892817534135473,0.9171312237381654,0.0058470384274008,0.34977578475336324,599,False
0.631578947368421,0.48688140216994,0.1413268158077394,0.3818794902885777,0.006409985353619054,0.34977578475336324,610,False
