features,model,mean_rmse,std_rmse,mean_r2,std_r2,n_features
baselines_only,ridge,0.35456321467534035,0.0687212548903294,0.2463369289564521,0.19638728243568346,9
baselines_only,random_forest,0.37127882538428975,0.06685453101048915,0.17546093043121025,0.18312844394032546,9
multiscale_only,ridge,0.3480208746438297,0.04520999759403417,0.27668614609087827,0.08816725498404414,11
multiscale_only,random_forest,0.339831564571604,0.04971064687715599,0.30704135219886974,0.12672512596233806,11
combined,ridge,0.36684005422798116,0.056663277128100834,0.19117241033429608,0.15762292382265067,20
combined,random_forest,0.34836218226348287,0.06312366843930314,0.26985076167365796,0.18600332613203285,20
