scale,governance,seed,N,M,D1_csi,D1_frag_onset,D1_stab_var,D1_n_comm_g1,D1_mod_g1,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,BL_mean_degree,BL_std_degree,BL_max_in_degree,BL_max_out_degree,BL_mean_betweenness,BL_max_betweenness,BL_max_pagerank,BL_diameter,BL_density,MTTD_stew_mean,MTTD_stew_max,MTTD_bc_mean,MTTD_rand_mean,MTTD_stew_undetected
tiny,well,42,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,3,0.4979857822693715,0.35714285714285715,-1,0.10238777760269253,0.018910923335985864,0.4035715797578722,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739516,2,2,0.0086996336996337,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.0,0
tiny,well,43,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,3,0.4979857822693715,0.35714285714285715,-1,0.10238777760269016,0.01891092333598543,0.40357157975786734,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739515,2,2,0.008699633699633698,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.0,0
tiny,well,44,14,16,0.6842105263157895,0.33598182862837817,0.36974168522209727,2,0.26891438749098895,0.4032258064516129,-1,0.2907246405630772,0.05092146065131284,0.35497052581251715,2.8869748157904023,3,3.0,1.5849625007211519,0.21428571428571427,4,0.2857142857142857,2.2857142857142856,0.6998542122237652,2,2,0.0086996336996337,0.038461538461538464,0.1319048644295331,6,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,1.6666666666666667,0
tiny,well,45,14,16,0.6842105263157895,0.33598182862837817,0.36974168522209727,2,0.26891438749098895,0.4032258064516129,-1,0.2907246405630772,0.05092146065131284,0.35497052581251604,2.8869748157904023,3,3.0,1.5849625007211519,0.21428571428571427,4,0.2857142857142857,2.2857142857142856,0.6998542122237652,2,2,0.0086996336996337,0.038461538461538464,0.1319048644295331,6,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.3333333333333335,0
tiny,well,46,14,16,0.3684210526315789,0.16237767391887217,0.26735384464628276,3,0.48034769021179824,0.35714285714285715,-1,0.10238777760269027,0.01891092333598545,0.40357157975785724,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739516,2,2,0.0086996336996337,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.6666666666666665,0
tiny,well,47,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,3,0.4979857822693715,0.35714285714285715,-1,0.10238777760269016,0.01891092333598543,0.40357157975785435,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739515,2,2,0.008699633699633698,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.0,0
tiny,well,48,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,3,0.4979857822693715,0.35714285714285715,-1,0.10238777760269016,0.01891092333598543,0.40357157975787394,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739515,2,2,0.008699633699633698,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.0,0
tiny,well,49,14,16,0.6842105263157895,0.33598182862837817,0.36974168522209727,2,0.26891438749098895,0.4032258064516129,-1,0.2907246405630772,0.05092146065131284,0.35497052581251065,2.8869748157904023,3,3.0,1.5849625007211519,0.21428571428571427,4,0.2857142857142857,2.2857142857142856,0.6998542122237652,2,2,0.0086996336996337,0.038461538461538464,0.1319048644295331,6,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,1.6666666666666667,0
tiny,well,50,14,16,0.6842105263157895,0.33598182862837817,0.36974168522209727,2,0.26891438749098895,0.4032258064516129,-1,0.2907246405630772,0.05092146065131284,0.35497052581207456,2.8869748157904023,3,3.0,1.5849625007211519,0.21428571428571427,4,0.2857142857142857,2.2857142857142856,0.6998542122237652,2,2,0.0086996336996337,0.038461538461538464,0.1319048644295331,6,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,3.0,0
tiny,well,51,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,3,0.4979857822693715,0.35714285714285715,-1,0.10238777760269016,0.01891092333598543,0.40357157975786795,3.374662439537465,3,3.0,1.5849625007211519,0.21428571428571427,3,0.21428571428571427,2.2857142857142856,0.5890150893739515,2,2,0.008699633699633698,0.038461538461538464,0.16480757590947248,8,0.08791208791208792,3.3333333333333335,4.0,2.6666666666666665,2.3333333333333335,0
