project,project_id,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,nodes_peak_date,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,net_contraction_from_peak_pct,drift_events,drift_events_per_year,median_snapshot_gap_days,max_snapshot_gap_days
fivetran/dbt_intercom,fivetran__dbt_intercom,24,2020-12-09,2026-06-22,2021,5.533,10,42,9,42,2025-12-15,8,50,8,50,4.2,6.25,0.0,6,1.08,43.0,601.0
dcaribou/transfermarkt-datasets,dcaribou__transfermarkt-datasets,23,2023-05-23,2026-08-03,1167,3.195,15,23,15,23,2026-03-27,16,27,16,27,1.53,1.69,0.0,3,0.94,34.5,382.0
duneanalytics/spellbook,duneanalytics__spellbook,23,2022-09-22,2024-07-12,658,1.802,180,1572,180,3673,2023-10-17,219,1558,219,4442,8.73,7.11,57.2,9,5.0,30.0,32.0
fivetran/dbt_iterable,fivetran__dbt_iterable,23,2021-04-12,2026-06-22,1897,5.194,6,46,6,46,2025-12-08,4,50,4,50,7.67,12.5,0.0,4,0.77,64.5,377.0
fivetran/dbt_quickbooks_source,fivetran__dbt_quickbooks_source,23,2021-02-05,2025-09-11,1679,4.597,72,80,72,80,2022-09-26,36,40,36,40,1.11,1.11,0.0,0,0.0,43.5,326.0
oracle/dbt-oracle,oracle__dbt-oracle,23,2022-04-14,2026-08-03,1572,4.304,10,24,10,24,2026-06-11,3,5,3,5,2.4,1.67,0.0,0,0.0,52.5,242.0
sfc-gh-dflippo/snowflake-dbt-demo,sfc-gh-dflippo__snowflake-dbt-demo,23,2022-02-04,2026-01-29,1454,3.981,13,35,13,35,2026-01-29,7,27,7,27,2.69,3.86,0.0,4,1.0,58.0,202.0
fivetran/dbt_google_ads,fivetran__dbt_google_ads,22,2020-11-04,2026-06-22,2056,5.629,3,40,3,40,2026-04-01,0,48,0,48,13.33,,0.0,2,0.36,91.0,267.0
gseda19/grasya-snowflake,gseda19__grasya-snowflake,22,2024-05-15,2026-07-30,805,2.204,3,2,2,13,2025-09-17,1,0,0,4,0.67,0.0,84.6,4,1.81,30.0,103.0
DalgoT4D/dbt_shofco,DalgoT4D__dbt_shofco,21,2020-01-13,2026-07-15,2374,6.5,2,87,2,94,2025-06-24,1,63,1,70,43.5,63.0,7.4,4,0.62,28.0,1686.0
beyondessential/tamanu-source-dbt,beyondessential__tamanu-source-dbt,21,2024-09-18,2026-08-02,682,1.867,55,224,55,224,2026-08-02,0,220,0,293,4.07,,0.0,9,4.82,30.0,85.0
fivetran/dbt_google_ads_source,fivetran__dbt_google_ads_source,21,2020-11-04,2025-06-25,1694,4.638,6,22,6,22,2025-04-23,3,11,3,11,3.67,3.67,0.0,0,0.0,53.0,266.0
fivetran/dbt_salesforce_source,fivetran__dbt_salesforce_source,21,2020-05-08,2025-06-26,1875,5.133,4,14,4,42,2023-10-16,0,0,0,21,3.5,,66.7,0,0.0,79.5,346.0
fivetran/dbt_xero,fivetran__dbt_xero,21,2021-03-31,2026-07-27,1944,5.322,5,44,5,44,2026-07-27,4,53,4,53,8.8,13.25,0.0,6,1.13,73.0,375.0
T-Dunlap/dbt_demo_project,T-Dunlap__dbt_demo_project,20,2022-06-09,2024-08-13,796,2.179,21,29,21,29,2023-06-14,19,25,19,25,1.38,1.32,0.0,2,0.92,39.0,85.0
contactually/contactually-analytics,contactually__contactually-analytics,20,2016-08-24,2019-01-29,887,2.428,23,41,23,41,2019-01-29,22,48,8,48,1.78,2.18,0.0,4,1.65,29.0,216.0
fivetran/dbt_facebook_ads_source,fivetran__dbt_facebook_ads_source,20,2020-12-17,2025-06-25,1651,4.52,12,24,12,24,2025-04-29,6,12,6,12,2.0,2.0,0.0,0,0.0,47.0,365.0
fivetran/dbt_pinterest_source,fivetran__dbt_pinterest_source,20,2020-08-16,2025-06-25,1773,4.854,4,26,4,26,2025-04-30,0,13,0,13,6.5,,0.0,0,0.0,54.0,392.0
cagov/caldata-mdsa-caltrans-pems,cagov__caldata-mdsa-caltrans-pems,19,2024-02-06,2025-08-13,553,1.514,2,104,2,104,2025-03-04,0,132,0,132,52.0,,0.0,11,7.27,29.5,65.0
cagov/data-infrastructure,cagov__data-infrastructure,19,2022-10-12,2026-02-25,1231,3.37,2,29,2,29,2026-02-19,1,19,1,19,14.5,19.0,0.0,0,0.0,39.0,230.0
fivetran/dbt_salesforce,fivetran__dbt_salesforce,19,2020-05-08,2026-07-20,2264,6.198,9,31,5,31,2026-07-20,11,32,4,32,3.44,2.91,0.0,3,0.48,80.0,426.0
flexanalytics/dbt-business-intelligence,flexanalytics__dbt-business-intelligence,19,2022-05-05,2025-07-16,1168,3.198,11,10,10,12,2024-02-20,11,6,6,11,0.91,0.55,16.7,1,0.31,41.5,241.0
