project,project_id,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,nodes_peak_date,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,net_contraction_from_peak_pct,drift_events,drift_events_per_year,median_snapshot_gap_days,max_snapshot_gap_days
fivetran/dbt_apple_store_source,fivetran__dbt_apple_store_source,12,2022-04-04,2025-06-26,1178,3.225,32,16,16,32,2022-04-04,16,8,8,16,0.5,0.5,50.0,0,0.0,84.0,363.0
fivetran/dbt_greenhouse_source,fivetran__dbt_greenhouse_source,12,2021-03-01,2025-07-14,1595,4.367,62,62,62,62,2021-03-01,31,31,31,31,1.0,1.0,0.0,0,0.0,110.0,525.0
fivetran/dbt_intercom_source,fivetran__dbt_intercom_source,12,2020-12-14,2025-06-26,1655,4.531,26,26,26,26,2020-12-14,13,13,13,13,1.0,1.0,0.0,0,0.0,102.0,598.0
fivetran/dbt_mailchimp,fivetran__dbt_mailchimp,12,2020-04-28,2026-06-22,2246,6.149,34,46,22,46,2025-08-14,53,66,32,66,1.35,1.25,0.0,1,0.16,207.0,490.0
fivetran/dbt_marketo_source,fivetran__dbt_marketo_source,12,2020-06-03,2024-12-20,1660,4.545,16,28,16,29,2020-11-18,4,14,4,17,1.75,3.5,3.4,0,0.0,152.0,264.0
fivetran/dbt_recharge,fivetran__dbt_recharge,12,2023-04-05,2026-06-22,1174,3.214,7,44,7,44,2025-08-14,9,46,8,46,6.29,5.11,0.0,2,0.62,53.0,341.0
fivetran/dbt_recurly,fivetran__dbt_recurly,12,2022-10-12,2026-06-22,1349,3.693,10,49,10,49,2025-08-14,14,47,14,47,4.9,3.36,0.0,1,0.27,78.0,447.0
fivetran/dbt_sage_intacct_source,fivetran__dbt_sage_intacct_source,12,2022-03-01,2025-06-26,1212,3.318,12,14,12,14,2023-12-04,6,7,6,7,1.17,1.17,0.0,0,0.0,33.0,344.0
intelmercbernoulli/dbt,intelmercbernoulli__dbt,12,2024-11-14,2026-03-25,495,1.355,5,87,5,87,2026-03-25,1,67,1,67,17.4,67.0,0.0,8,5.9,29.0,119.0
janaonline/dbt_cityfinance,janaonline__dbt_cityfinance,12,2024-11-07,2026-07-27,627,1.717,9,37,9,37,2026-07-27,7,24,7,24,4.11,3.43,0.0,1,0.58,37.0,213.0
All,,3577,2016-07-27,2026-08-04,204870,560.903,,,,,,,,,,,,,621,,,
