project_id,repo_url,status,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,nodes_first_viable,date_first_viable,node_growth_from_first_viable,tier,net_contraction_from_peak_pct,median_giant_component_frac,median_edges_per_node,median_snapshot_gap_days,max_snapshot_gap_days,drift_events,n_dbt_projects_at_head,model_paths,head_sha,stars,license,strata,edge_recall_strict,pct_edges_recovered,pct_nodes_touched_by_recovered,edges_dropped_as_commented_out,median_doc_rate,median_test_rate,error,composition,composition_rule,has_integration_tests,consumes_packages
lightdash__lightdash,https://github.com/lightdash/lightdash.git,success,29,2023-10-12,2026-07-24,1015,2.78,8,63,8,63,7,35,7,35,7.88,5.0,10,2023-11-13,6.3,core,0.0,0.5385,0.5625,30,105,4,0,examples/full-jaffle-shop-demo/dbt/models,ad7fb929a074e6a2a50b35425774c524ed3782f3,6010,NOASSERTION,S2_topic_dbt,1.0,0.0,0.0,0,0.318182,0.416667,,estate,"no package, docs or demo signal",False,False
prefeitura-rio__queries-rj-smtr,https://github.com/prefeitura-rio/queries-rj-smtr.git,success,29,2022-03-03,2024-07-12,862,2.36,2,199,2,199,1,280,1,280,99.5,280.0,25,2022-04-28,7.96,core,0.0,0.5909,1.1961,30,56,9,0,models,933971ef4769872f2b34a01c0fa8ae22488bdb85,14,GPL-3.0,S2_topic_dbt;S3_code,0.9832,1.68,3.54,123,0.415584,0.160494,,estate,"no package, docs or demo signal",False,False
Health-Union__dbt-xdb,https://github.com/Health-Union/dbt-xdb.git,success,28,2020-03-18,2025-05-26,1895,5.19,5,51,5,51,0,0,0,0,10.2,,10,2020-03-31,5.1,extended,0.0,0.0312,0.0,40,558,0,0,test_xdb/models;xdb/models,46c23c1272eef98538e014675b9d394be3e137fe,9,Apache-2.0,S3_code,0.0,0.0,0.0,49,1.0,1.0,,package,repository name matches the dbt package convention,False,True
fivetran__dbt_shopify_source,https://github.com/fivetran/dbt_shopify_source.git,success,28,2020-09-29,2025-08-14,1780,4.87,10,178,10,178,5,89,5,89,17.8,17.8,10,2020-09-29,17.8,extended,0.0,0.0303,0.5,41,252,0,0,models,5645eb3e819809905af1a8cc6a9ff44daa7f43a8,31,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
matsonj__nba-monte-carlo,https://github.com/matsonj/nba-monte-carlo.git,success,28,2022-10-26,2026-07-27,1370,3.75,35,63,31,71,48,122,44,122,1.8,2.54,35,2022-10-26,1.8,core,11.27,0.5968,1.6481,38,195,5,0,transform/models;nmc_transformer/models,6363a857bc1ba0ebaa31d6a68160949581c99169,605,MIT,S1_curated,0.9953,0.47,0.85,122,0.0,0.41791,,estate,"no package, docs or demo signal",False,True
stellar__stellar-dbt-public,https://github.com/stellar/stellar-dbt-public.git,success,28,2023-08-18,2026-07-31,1078,2.95,14,61,14,61,4,59,4,61,4.36,14.75,14,2023-08-18,4.36,extended,0.0,0.4571,0.8235,31,109,10,0,models,0a963e9f1250c275f1d02938920cd6e646d484d3,12,,S3_code,1.0,0.0,0.0,0,0.542857,0.98,,package,repository name matches the dbt package convention,False,True
PedramNavid__dagster,https://github.com/PedramNavid/dagster.git,success,27,2021-07-29,2025-12-19,1604,4.39,3,51,3,51,2,43,2,43,17.0,21.5,11,2022-06-07,4.64,extended,0.0,0.3125,0.8438,43,200,3,0,python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_dagster_metadata/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dagster_dbt_python_test_project/models;examples/hacker_news/hacker_news_dbt/models;examples/docs_projects/project_atproto_dashboard/dbt_project/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/fusion_compatible/jaffle_shop/models;examples/airlift-migration-tutorial/tutorial_example/shared/dbt/models;examples/assets_dbt_python/dbt_project/models;examples/assets_modern_data_stack/dbt_project/models;examples/assets_smoke_test/dbt_project/models;examples/docs_beta_snippets/docs_beta_snippets/guides/etl/transform-dbt/basic-dbt-project/models;examples/docs_projects/project_dbt/src/project_dbt/analytics/models;examples/docs_projects/project_etl_tutorial/transform/jdbt/models;examples/docs_snippets/docs_snippets/guides/etl/transform-dbt/basic-dbt-project/models;examples/experimental/dagster-airlift/dagster_airlift_tests/unit_tests/dbt_tests/dbt_project/models;examples/experimental/dagster-airlift/examples/tutorial-example/tutorial_example/shared/dbt/models;examples/hacker_news_assets/hacker_news_assets/activity_analytics/hacker_news_dbt/models;examples/project_analytics/dagster_pypi/dbt_project/models;examples/project_databricks_and_snowflake/projects/snowflake-medallion/src/snowflake_medallion/dbt_project/models;examples/project_fully_featured/dbt_project/models;examples/starlift-demo/dbt_example/shared/dbt/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/dependency_on_dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/components/code_locations/templated_custom_keys_dbt_project_location/defs/jaffle_shop_dbt/jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/pre_packaged_jaffle_shop/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_dagster_dbt_dependencies/models;python_modules/libraries/dagster-dbt/dagster_dbt_tests/dbt_projects/test_jaffle_with_profile_vars/models,539722819071aa7d07c8f670e161a3134591b4d1,0,Apache-2.0,S3_code,0.9893,1.07,1.83,0,0.333333,0.15625,,package,ships an integration_tests project,True,True
davidgasquez__filecoin-data-portal,https://github.com/davidgasquez/filecoin-data-portal.git,partial,27,2023-07-05,2026-03-06,975,2.67,3,17,3,17,1,11,1,13,5.67,11.0,10,2024-04-16,1.7,extended,0.0,0.6667,0.6875,33,127,8,0,dbt/models,42d78922ebdf5143d6aad939788a4454cf3f9992,35,MIT,S1_curated,1.0,0.0,0.0,0,0.0,0.411765,1 of 28 snapshots failed,estate,"no package, docs or demo signal",False,False
prefeitura-rio__pipelines_rj_smtr,https://github.com/prefeitura-rio/pipelines_rj_smtr.git,partial,27,2023-12-13,2026-05-15,883,2.42,120,447,19,447,149,701,6,701,3.73,4.7,120,2023-12-13,3.73,core,0.0,0.8446,1.5556,29,95,13,0,queries/models,0c465bcd57993a34212361129e849494ff3669a1,6,,S2_topic_dbt;S3_code,0.9127,8.73,17.56,387,0.609481,0.121673,1 of 28 snapshots failed,estate,"no package, docs or demo signal",False,True
sacundim__covid-19-puerto-rico,https://github.com/sacundim/covid-19-puerto-rico.git,success,27,2021-11-03,2024-09-03,1034,2.83,52,90,52,97,54,76,54,83,1.73,1.41,52,2021-11-03,1.73,core,7.22,0.6711,0.8816,32,157,5,0,aws/athena-dbt/models;athena-dbt/models,dbb0878d5e424b20ea8342f6e4f230fc922621f1,13,,S3_code,1.0,0.0,0.0,21,0.302632,0.381579,,estate,"no package, docs or demo signal",False,True
tuva-health__medicare_cclf_connector,https://github.com/tuva-health/medicare_cclf_connector.git,success,27,2022-05-18,2026-04-15,1428,3.91,7,40,7,40,5,50,5,50,5.71,10.0,10,2023-01-14,4.0,core,0.0,0.8571,0.7143,39,222,5,0,models,603a258e3c649d6a4eb7d0835e8efc7d79371204,15,Apache-2.0,S2_topic_analytics-engineering;S2_topic_dbt,0.949,5.1,6.48,0,1.0,0.103448,,package,ships an integration_tests project,True,True
elementary-data__elementary,https://github.com/elementary-data/elementary.git,success,26,2022-04-13,2026-03-04,1420,3.89,1,15,1,18,0,1,0,4,15.0,,10,2023-06-12,1.5,extended,16.67,0.375,0.0667,46,358,2,0,elementary/monitor/dbt_project/models;monitor/dbt_project/models;tests/tests_with_db/dbt_project/models,594b89d1098fd23838fa93554110bec98152cb4e,2383,Apache-2.0,S2_topic_dbt,0.5106,48.94,16.44,92,0.090909,0.0,,estate,"no package, docs or demo signal",False,True
prefeitura-rio__queries-datario,https://github.com/prefeitura-rio/queries-datario.git,success,26,2021-12-06,2024-08-26,994,2.72,2,53,2,55,1,0,0,1,26.5,0.0,29,2022-02-23,1.83,extended,3.64,0.0333,0.0,34,164,1,0,models,0b6b9caf52a23f3aca11e120bf3c8fc383420c9b,5,GPL-3.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,1.0,0.0,,estate,"no package, docs or demo signal",False,False
snowplow__dbt-snowplow-web,https://github.com/snowplow/dbt-snowplow-web.git,success,26,2021-07-14,2023-11-27,865,2.37,26,29,23,31,45,32,32,48,1.12,0.71,26,2021-07-14,1.12,core,6.45,1.0,1.6,34,79,5,0,models,fe1fbc17e932d32cd9331b7f88827c23637ea674,65,NOASSERTION,S2_topic_dbt;S3_code,0.9294,7.06,14.84,0,1.0,0.913043,,package,ships an integration_tests project,True,True
brooklyn-data__dbt_artifacts,https://github.com/brooklyn-data/dbt_artifacts.git,success,25,2021-03-05,2026-07-31,1974,5.4,13,46,13,46,16,55,11,55,3.54,3.44,13,2021-03-05,3.54,extended,0.0,0.2174,0.7059,39,368,10,0,models,3d27645ae3d664b405498ebfd025432396b5568f,400,Apache-2.0,S2_topic_dbt,0.9819,1.81,3.28,0,0.676471,0.0,,package,ships an integration_tests project,True,True
fivetran__dbt_netsuite_source,https://github.com/fivetran/dbt_netsuite_source.git,success,25,2021-01-08,2025-07-07,1641,4.49,34,84,34,84,17,42,17,42,2.47,2.47,34,2021-01-08,2.47,extended,0.0,0.025,0.5,80,168,0,0,models,b233689af981c4d45219753b1606037ea63c0994,16,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.47561,,package,ships an integration_tests project,True,True
fivetran__dbt_intercom,https://github.com/fivetran/dbt_intercom.git,success,24,2020-12-09,2026-06-22,2021,5.53,10,42,9,42,8,50,8,50,4.2,6.25,10,2020-12-09,4.2,core,0.0,1.0,1.0833,43,601,9,0,models,067394cd42e7f9cdc52e6708dc91b6f820ba6074,6,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
dcaribou__transfermarkt-datasets,https://github.com/dcaribou/transfermarkt-datasets.git,success,23,2023-05-23,2026-08-03,1167,3.2,15,23,15,23,16,27,16,27,1.53,1.69,15,2023-05-23,1.53,extended,0.0,0.8824,1.1579,36,382,3,0,dbt/models,af8c44a0f9faf8de9f0ab08818cc0b51e36240e4,464,CC0-1.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.0,0.764706,,estate,"no package, docs or demo signal",False,True
duneanalytics__spellbook,https://github.com/duneanalytics/spellbook.git,partial,23,2022-09-22,2024-07-12,658,1.8,180,1572,180,3673,219,1558,219,4442,8.73,7.11,180,2022-09-22,8.73,extended,57.2,0.6328,1.2408,30,32,12,0,models;sources,d5f9581ed45a3b715e32b4057e963b51edfb84d8,1511,NOASSERTION,S1_curated;S3_code,0.5729,42.71,53.79,243,0.945441,0.691614,25 of 48 snapshots failed,estate,"no package, docs or demo signal",False,True
fivetran__dbt_iterable,https://github.com/fivetran/dbt_iterable.git,success,23,2021-04-12,2026-06-22,1897,5.19,6,46,6,46,4,50,4,50,7.67,12.5,19,2021-06-30,2.42,extended,0.0,0.9474,1.0556,75,377,4,0,models,0b65c481a984f8f0e63829366dae317bae955e63,4,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.944444,0.333333,,package,ships an integration_tests project,True,True
fivetran__dbt_quickbooks_source,https://github.com/fivetran/dbt_quickbooks_source.git,success,23,2021-02-05,2025-09-11,1679,4.6,72,80,72,80,36,40,36,40,1.11,1.11,72,2021-02-05,1.11,extended,0.0,0.025,0.5,47,326,0,0,models,a5c2c6a6259d7814439fb99f65e051c90b9e0f41,10,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.475,,package,ships an integration_tests project,True,True
oracle__dbt-oracle,https://github.com/oracle/dbt-oracle.git,success,23,2022-04-14,2026-08-03,1572,4.3,10,24,10,24,3,5,3,5,2.4,1.67,10,2022-04-14,2.4,extended,0.0,0.1111,0.1765,53,242,0,0,dbt_adbs_test_project/models,bfacc38f17291253650c4bb1dbff7472fe342c7a,66,Apache-2.0,S2_topic_dbt;S3_code,0.9342,6.58,2.38,0,0.0,0.166667,,package,repository name matches the dbt package convention,False,True
sfc-gh-dflippo__snowflake-dbt-demo,https://github.com/sfc-gh-dflippo/snowflake-dbt-demo.git,success,23,2022-02-04,2026-01-29,1454,3.98,13,35,13,35,7,27,7,27,2.69,3.86,13,2022-02-04,2.69,extended,0.0,0.6667,0.7143,60,202,3,0,models,49e0db05fd4f542c4ce34e24da5d537ceae9b3e0,34,Apache-2.0,S3_code,0.9452,5.48,7.46,0,0.315789,0.368421,,demo,repository name indicates a demo or tutorial,False,True
DalgoT4D__dbt_shofco,https://github.com/DalgoT4D/dbt_shofco.git,success,22,2017-05-20,2026-07-15,3342,9.15,1,87,1,94,0,63,0,70,87.0,,36,2024-11-08,2.42,extended,7.45,0.1774,0.6508,29,1686,8,0,models,5e65bb24c9a7256f2bc99a2856c7c34f92f8e031,0,,S3_code,0.9979,0.21,0.28,0,0.67033,0.482759,,package,repository name matches the dbt package convention,False,True
fivetran__dbt_google_ads,https://github.com/fivetran/dbt_google_ads.git,success,22,2020-11-04,2026-06-22,2056,5.63,3,40,3,40,0,48,0,48,13.33,,29,2025-08-15,1.38,extended,0.0,0.1667,0.0,91,267,3,0,models,5f90a793a56a4d734d5365d35032de0a7969a767,26,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,1.0,1.0,,package,ships an integration_tests project,True,True
gseda19__grasya-snowflake,https://github.com/gseda19/grasya-snowflake.git,success,22,2024-05-15,2026-07-30,805,2.2,3,2,2,13,1,0,0,4,0.67,0.0,10,2025-02-11,0.2,extended,84.62,0.5,0.2857,30,103,4,0,models,bc1d3dfb3a16e6ca4eb1cfd6672826f6dd563d10,0,,S3_code,1.0,0.0,0.0,0,0.153846,0.083333,,estate,"no package, docs or demo signal",False,True
beyondessential__tamanu-source-dbt,https://github.com/beyondessential/tamanu-source-dbt.git,partial,21,2024-09-18,2026-08-02,682,1.87,55,224,55,224,0,220,0,293,4.07,,55,2024-09-18,4.07,extended,0.0,0.7063,1.5594,30,85,9,0,models,256986f3f259c2dafe151c67c5ffc8ff838bdbe5,0,,S3_code,1.0,0.0,0.0,1,0.699301,0.012987,4 of 25 snapshots failed,package,repository name matches the dbt package convention,False,True
fivetran__dbt_facebook_ads_source,https://github.com/fivetran/dbt_facebook_ads_source.git,success,21,2020-07-29,2025-06-25,1792,4.91,1,24,1,24,0,12,0,12,24.0,,12,2020-12-17,2.0,extended,0.0,0.1667,0.5,47,365,0,0,models,08485e2cddd9dbb1055a7975c5ec70a09fd24215,16,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
fivetran__dbt_google_ads_source,https://github.com/fivetran/dbt_google_ads_source.git,success,21,2020-11-04,2025-06-25,1694,4.64,6,22,6,22,3,11,3,11,3.67,3.67,18,2021-09-28,1.22,extended,0.0,0.1,0.5,58,266,0,0,models,1ed0ed7d5ac36d760035c3e7493f49aa8c808b7c,12,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
fivetran__dbt_salesforce_source,https://github.com/fivetran/dbt_salesforce_source.git,success,21,2020-05-08,2025-06-26,1875,5.13,4,14,4,42,0,0,0,21,3.5,,12,2021-05-28,1.17,extended,66.67,0.0909,0.5,91,346,1,0,models,6a060f9957d27d287fa5b55bc27ed0e92d1d96a4,13,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
fivetran__dbt_xero,https://github.com/fivetran/dbt_xero.git,partial,21,2021-03-31,2026-07-27,1944,5.32,5,44,5,44,4,53,4,53,8.8,13.25,36,2025-08-18,1.22,extended,0.0,0.8,0.8,74,375,6,0,models,51d236fe63baa3804923b791fae5302f81889517,12,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.8,0.6,1 of 22 snapshots failed,package,ships an integration_tests project,True,True
T-Dunlap__dbt_demo_project,https://github.com/T-Dunlap/dbt_demo_project.git,success,20,2022-06-09,2024-08-13,796,2.18,21,29,21,29,19,25,19,25,1.38,1.32,21,2022-06-09,1.38,extended,0.0,0.7241,0.8621,39,85,2,0,models,dae9f690f3193b6c9db15a9ca3377398bc78c234,1,,S3_code,1.0,0.0,0.0,0,0.884615,0.653846,,demo,repository name indicates a demo or tutorial,False,True
cagov__caldata-mdsa-caltrans-pems,https://github.com/cagov/caldata-mdsa-caltrans-pems.git,success,20,2023-10-12,2025-08-13,670,1.83,1,104,1,104,0,132,0,132,104.0,,11,2024-03-08,9.45,extended,0.0,0.9126,1.2692,30,117,13,0,transform/models,0bfbd03906c4f7263b2012f6b16613f463ac0cfa,13,MIT,S3_code,0.9621,3.79,8.83,0,0.894231,0.298077,,estate,"no package, docs or demo signal",False,True
contactually__contactually-analytics,https://github.com/contactually/contactually-analytics.git,success,20,2016-08-24,2019-01-29,887,2.43,23,41,23,41,22,48,8,48,1.78,2.18,23,2016-08-24,1.78,extended,0.0,0.5294,0.7647,29,216,10,0,models,73912f9e91c1bfec4fc2aef04794daf7b2729ce5,0,,S3_code,1.0,0.0,0.0,0,0.0,0.0,,estate,"no package, docs or demo signal",False,False
fivetran__dbt_pinterest_source,https://github.com/fivetran/dbt_pinterest_source.git,success,20,2020-08-16,2025-06-25,1773,4.85,4,26,4,26,0,13,0,13,6.5,,20,2022-07-05,1.3,extended,0.0,0.1,0.5,54,392,0,0,models,b284d4f5fe36fb579dc57e0816d5a7d5781733ee,2,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
MTES-MCT__dossierfacile-data,https://github.com/MTES-MCT/dossierfacile-data.git,success,19,2024-12-17,2026-07-15,574,1.57,1,49,1,49,0,43,0,45,49.0,,18,2025-02-14,2.72,extended,0.0,0.6531,0.9167,32,58,10,0,models,d4aeeb6ec1af9b9044fe650f0a8994f27f42e29b,0,MIT,S3_code,1.0,0.0,0.0,0,0.44898,0.408163,,estate,"no package, docs or demo signal",False,True
cagov__data-infrastructure,https://github.com/cagov/data-infrastructure.git,partial,19,2022-10-12,2026-02-25,1231,3.37,2,29,2,29,1,19,1,19,14.5,19.0,17,2024-12-23,1.71,extended,0.0,0.75,0.6552,42,230,0,0,transform/models,bc3e154fc3f8384d865a8dbcdbbbb960fae04c28,25,MIT,S1_curated;S3_code,1.0,0.0,0.0,0,1.0,0.75,1 of 20 snapshots failed,estate,"no package, docs or demo signal",False,True
fivetran__dbt_facebook_ads,https://github.com/fivetran/dbt_facebook_ads.git,success,19,2020-07-29,2026-06-22,2154,5.9,1,34,1,34,0,50,0,50,34.0,,10,2025-04-29,3.4,extended,0.0,1.0,0.75,104,488,2,0,models,27180ace3c72d43f14292cd79b6d3d1134a9a42b,53,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.8,0.352941,,package,ships an integration_tests project,True,True
fivetran__dbt_salesforce,https://github.com/fivetran/dbt_salesforce.git,success,19,2020-05-08,2026-07-20,2264,6.2,9,31,5,31,11,32,4,32,3.44,2.91,12,2023-10-27,2.58,extended,0.0,0.5556,0.5556,97,426,2,0,models,87e05378f2f5de92911624492f03137adfbfd138,53,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.8,0.666667,,package,ships an integration_tests project,True,True
flexanalytics__dbt-business-intelligence,https://github.com/flexanalytics/dbt-business-intelligence.git,success,19,2022-05-05,2025-07-16,1168,3.2,11,10,10,12,11,6,6,11,0.91,0.55,11,2022-05-05,0.91,extended,16.67,0.3636,0.6,42,241,2,0,models,413f2ca4b48a3894f190493f0f9a986eeb2dcd63,160,,S3_code,1.0,0.0,0.0,66,0.5,0.2,,package,repository name matches the dbt package convention,False,True
gnosischain__dbt-cerebro,https://github.com/gnosischain/dbt-cerebro.git,success,19,2024-09-25,2026-07-31,674,1.85,18,1251,11,1251,11,1726,5,1726,69.5,156.91,18,2024-09-25,69.5,extended,0.0,0.4607,0.8701,29,166,17,0,models,4e4d705f033172959bae70b3204330ce2a328712,0,MIT,S3_code,0.9924,0.76,1.19,30,0.991342,0.590734,,package,repository name matches the dbt package convention,False,True
ImpulsoGov__saude-mental-indicadores,https://github.com/ImpulsoGov/saude-mental-indicadores.git,partial,18,2022-07-18,2024-11-14,849,2.32,10,128,10,128,8,115,8,115,12.8,14.38,10,2022-07-18,12.8,extended,0.0,0.6797,0.8651,35,150,6,0,models;sources,c26a69af770d190534bb1f719b6ca41a7c2be8df,5,,S2_topic_dbt;S3_code,1.0,0.0,0.0,302,1.0,0.0,1 of 19 snapshots failed,estate,"no package, docs or demo signal",False,True
NYCPlanning__data-engineering,https://github.com/NYCPlanning/data-engineering.git,success,18,2024-03-29,2026-07-27,849,2.32,51,106,51,118,50,119,50,137,2.08,2.38,51,2024-03-29,2.08,extended,10.17,1.0,1.1515,31,200,4,0,products/green_fast_track/models;experimental/dm/airflow_dbt/dbt/jaffle_shop/models;experimental/dm/airflow_dbt/dbt/jaffle_shoppe/models;experimental/dm/dagster_dbt/dbt_jaffle_shop/models;experimental/dm/dagster_dbt/dbt_jaffle_shoppe/models;experimental/entities/models;products/factfinder/factfinder_dbt_qa/models,64313123f098363d32820212b0eabc5ec7778503,43,MIT,S3_code,0.6056,39.44,44.9,0,0.080808,0.10101,,estate,"no package, docs or demo signal",False,True
Som-Energia__somenergia-jardiner,https://github.com/Som-Energia/somenergia-jardiner.git,success,18,2022-11-09,2024-10-24,715,1.96,54,167,54,167,53,186,53,186,3.09,3.51,54,2022-11-09,3.09,extended,0.0,0.8319,1.1067,37,108,12,0,dbt_jardiner/models,a1bf32b3c066bf882bc83ebeee784edc3ea984a9,4,GPL-3.0,S3_code,0.9961,0.39,0.85,9,0.292994,0.071856,,estate,"no package, docs or demo signal",False,True
Stevedow99__dbt_snowflake_demo_sandbox,https://github.com/Stevedow99/dbt_snowflake_demo_sandbox.git,success,18,2022-09-13,2026-02-19,1254,3.43,21,96,21,96,20,55,20,55,4.57,2.75,21,2022-09-13,4.57,extended,0.0,0.4255,0.6757,40,397,2,0,models,790cfb31e6103250efbf65750eff33daca71743a,1,,S3_code,1.0,0.0,0.0,0,0.340426,0.340426,,package,ships an integration_tests project,True,True
dbt-labs__jaffle-sl-template,https://github.com/dbt-labs/jaffle-sl-template.git,success,18,2023-06-23,2025-08-19,788,2.16,8,10,8,19,7,9,7,9,1.25,1.29,10,2023-08-18,1.0,extended,47.37,0.8,0.9,37,120,3,0,models,c54c8fb8bea86c0c4d3d5c588d55f8de9de57ade,32,,S3_code,1.0,0.0,0.0,0,0.8,0.8,,estate,"no package, docs or demo signal",False,True
fivetran__dbt_jira_source,https://github.com/fivetran/dbt_jira_source.git,success,18,2020-12-11,2025-07-21,1682,4.61,32,34,28,34,16,17,14,17,1.06,1.06,32,2020-12-11,1.06,extended,0.0,0.0588,0.5,43,862,0,0,models,e60b0594af6946462676770125c2f310abf889de,15,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.470588,,package,ships an integration_tests project,True,True
fivetran__dbt_microsoft_ads_source,https://github.com/fivetran/dbt_microsoft_ads_source.git,success,18,2020-09-03,2025-06-25,1756,4.81,5,24,5,24,0,12,0,12,4.8,,22,2022-07-07,1.09,extended,0.0,0.0909,0.5,69,315,1,0,models,571c5aa71d746da310ac808069864bcffc1c58e2,4,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
frizzleqq__f1-dbt-duckdb,https://github.com/frizzleqq/f1-dbt-duckdb.git,success,18,2022-08-21,2025-04-11,963,2.64,5,21,5,25,3,23,3,23,4.2,7.67,14,2022-10-16,1.5,extended,16.0,0.28,0.6667,40,236,4,0,dbt/models,70edd0528690378fe48853cf51c2a09a41b13bca,2,,S2_topic_dbt,1.0,0.0,0.0,3,0.0,0.48,,package,repository name matches the dbt package convention,False,True
re-data__dbt-re-data,https://github.com/re-data/dbt-re-data.git,success,18,2021-06-08,2024-04-29,1056,2.89,18,26,18,32,7,16,5,17,1.44,2.29,18,2021-06-08,1.44,extended,18.75,0.44,0.56,38,285,15,0,models,c93f125b3f4350fac914cfd82c0db37a30c81ad0,102,NOASSERTION,S2_topic_dbt,0.9579,4.21,4.1,241,0.190476,0.055556,,package,ships an integration_tests project,True,True
snowplow__dbt-snowplow-media-player,https://github.com/snowplow/dbt-snowplow-media-player.git,success,18,2022-02-09,2026-05-22,1563,4.28,8,16,8,16,8,12,8,17,2.0,1.5,16,2023-09-15,1.0,extended,0.0,1.0,1.0,55,308,3,0,models,941a77f7c4792d1397e40370c4c40553d7a123ab,9,NOASSERTION,S2_topic_dbt;S3_code,0.8351,16.49,26.79,0,1.0,0.9375,,package,ships an integration_tests project,True,True
thegoodparty__gp-data-platform,https://github.com/thegoodparty/gp-data-platform.git,success,18,2025-03-26,2026-08-04,496,1.36,15,858,15,858,1,483,1,483,57.2,483.0,15,2025-03-26,57.2,extended,0.0,0.1562,0.2494,29,35,25,0,dbt/project/models,216eba7b811c84922741c7faafda5625857d51a3,3,NOASSERTION,S3_code,0.9893,1.07,0.44,17,0.988796,0.623392,,estate,"no package, docs or demo signal",False,True
coding-is-for-losers__seo-audit,https://github.com/coding-is-for-losers/seo-audit.git,success,17,2018-04-20,2021-01-06,991,2.71,34,25,19,35,54,37,28,55,0.74,0.69,34,2018-04-20,0.74,extended,28.57,1.0,1.5,29,489,5,0,models,c7cea06992bdbfc5380be22496c08de6c06a2dc8,4,,S3_code,1.0,0.0,0.0,0,0.0,0.0,,estate,"no package, docs or demo signal",False,False
dbt-labs__dbt-onboarding-exemplar,https://github.com/dbt-labs/dbt-onboarding-exemplar.git,success,17,2021-10-28,2024-11-08,1107,3.03,18,37,18,39,19,28,19,28,2.06,1.47,18,2021-10-28,2.06,extended,5.13,0.9091,1.0455,56,200,11,0,models,a1c3a12938e2130505e87cf9073e21a3cdc1f1f6,26,,S3_code,1.0,0.0,0.0,0,0.869565,0.782609,,package,repository name matches the dbt package convention,False,True
fivetran__dbt_klaviyo,https://github.com/fivetran/dbt_klaviyo.git,success,17,2021-05-21,2026-06-22,1858,5.09,8,18,8,18,7,21,7,21,2.25,3.0,18,2025-08-14,1.0,extended,0.0,1.0,0.875,108,379,5,0,models,9b5a32ecefb393dfb6ce84abc16de6ae3d65eb47,7,Apache-2.0,S2_topic_dbt,0.9752,2.48,5.1,0,1.0,1.0,,package,ships an integration_tests project,True,True
fivetran__dbt_pinterest,https://github.com/fivetran/dbt_pinterest.git,success,17,2020-08-16,2026-06-22,2136,5.85,6,34,6,34,5,46,0,46,5.67,9.2,34,2025-08-13,1.0,extended,0.0,0.1667,0.0,105,412,1,0,models,d3cfa7b113476962499ba5500e73be8398109645,3,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,1.0,1.0,,package,ships an integration_tests project,True,True
fivetran__dbt_snapchat_ads,https://github.com/fivetran/dbt_snapchat_ads.git,success,17,2021-04-28,2026-06-22,1881,5.15,5,30,5,30,4,43,2,43,6.0,10.75,30,2025-08-18,1.0,extended,0.0,0.5,0.3333,110,311,2,0,models,011fde6a92be66e5e05737187d9fa9ba206b1b9d,2,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.833333,0.833333,,package,ships an integration_tests project,True,True
